what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1337788530277
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1337788530278
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1337788530280
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1337788530281
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1337788530282
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1337788530283
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1337788530284
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1337788530284
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1337788530285
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1337788530285
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1337788530286
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1337788530287
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1337788530288
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1337788530289
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1337788530289
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1337788530290
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1337788530291
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1337788530291
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1337788530292
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1337788530292
os,sysinfo,,,"linux",1337788530298
arch,sysinfo,,,"x86_64",1337788530298
ws,sysinfo,,,"gtk",1337788530298
locale,sysinfo,,,"en_US",1337788530298
processors,sysinfo,,,"4",1337788530299
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1337788530299
java.runtime.version,sysinfo,,,"1.7.0_147-icedtea-b147",1337788530299
java.specification.name,sysinfo,,,"Java Platform API Specification",1337788530299
java.specification.vendor,sysinfo,,,"Oracle Corporation",1337788530299
java.specification.version,sysinfo,,,"1.7",1337788530299
java.vendor,sysinfo,,,"Oracle Corporation",1337788530299
